# "url","title",slug
"https://techiedelight.quora.com/500-Data-structures-and-algorithms-interview-questions-and-their-solutions","Data structures and algorithms interview questions and their solutions",500-Data-structures-and-algorithms-interview-questions-and-their-solutions
"https://www.bloomberg.com/news/features/2017-08-30/how-nakaya-pens-anticipated-the-writing-tool-renaissance","A Japanese Pen Maker Anticipated the Fountain-Pen Renaissance",how-nakaya-pens-anticipated-the-writing-tool-renaissance
"http://cs.brown.edu/courses/csci2952-a/papers/perspective.pdf","Blockchains from a Distributed Computing Perspective",blockhains-distributed-computing-perspective
"http://danshipper.com/public-speaking-for-introverts","Public speaking for introverts",public-speaking-for-introverts
"http://highline.huffingtonpost.com/articles/en/lotto-winners/","The Lottery Hackers",lotto-winners
"https://anvil.works/blog/one-yc-startup-a-day","Prototyping a YC Startup Each Day",one-yc-startup-a-day
"https://azure.microsoft.com/en-us/resources/designing-distributed-systems/en-us/","Designing Distributed Systems E-Book",designing-distributed-systems
"https://blog.ycombinator.com/one-order-of-operations-for-starting-a-startup/","One Order of Operations for Starting a Startup",one-order-of-operations-for-starting-a-startup
"https://blog.ycombinator.com/ycs-series-a-diligence-checklist/","YC's Series A Diligence Checklist",ycs-series-a-diligence-checklist
"https://courses.engr.illinois.edu/cs525/sp2018/index.html","Advanced Distributed Systems",advanced-distributed-systems
"https://developers.google.com/machine-learning/crash-course/","Machine Learning Crash Course",ml-crash-course
"https://github.com/automerge/automerge","Automerge: JSON-like data structure for building collaborative apps",automerge
"https://javascriptreport.com/the-ultimate-guide-to-javascript-frameworks/","Guide to JavaScript Frameworks",the-ultimate-guide-to-javascript-frameworks
"https://justinkan.com/the-founders-guide-to-selling-your-company-a1b2025c9481","The Founder’s Guide To Selling Your Company (2014)",the-founders-guide-to-selling-your-company
"https://medium.com/@gsvpioneer/what-i-learned-from-reading-every-amazon-shareholders-letter-cdc35f309e8b","What I Learned from Reading Every Amazon Shareholders Letter",what-i-learned-from-reading-every-amazon-shareholders-letter
"https://stripe.com/atlas/guides/business-of-saas","The Business of SaaS",business-of-saas
"https://techcrunch.com/2018/03/31/tapsters-robots-are-built-to-poke-touchscreens","Tapster’s robots are built to poke touchscreens",tapsters-robots-are-built-to-poke-touchscreens
"https://time2hack.com/2018/02/introduction-quick-guide-to-graphql-for-backend-frontend/","Introduction and Quick Guide to GraphQL for BackEnd and FrontEnd",introduction-quick-guide-to-graphql-for-backend-frontend
"https://www.nytimes.com/2018/01/16/magazine/beyond-the-bitcoin-bubble.html","Beyond the Bitcoin bubble",beyond-the-bitcoin-bubble
"https://yageek.github.io/blog/2018/02/19/a-taste-of-core-data-0-a-graph-framework/","A taste of CoreData – A graph framework",a-taste-of-core-data-0-a-graph-framework
"http://archagon.net/blog/2018/09/03/good-spirits-persisting-data-statelessly/","'Stateless' sync using version vectors",stateless-sync-with-version-vectors
"http://createyourproglang.com/","Create Your Own Programming Language",create-your-own-programming-language
"http://dtrace.org/blogs/bmc/2018/09/18/falling-in-love-with-rust/","Falling in love with Rust",falling-in-love-with-rust
"http://jamie-wong.com/post/color/","Color: From Hex codes to Eyeballs",color-hex-codes-eyeballs
